dataset,cant_threads,metodo,tiempo_carga,tiempo_max,varianza_carga,varianza_max
random_alfabeto0,1,true,41204.6,0.741553,250257.29840000105,0.28724471204535995
random_alfabeto0,2,true,33711.2,1.21731,39777.370399999665,0.0003386964559999976
random_alfabeto0,3,true,34644.2,0.707782,33224.23759999989,0.00644861883424
random_alfabeto0,4,true,36881.2,0.686853,53279.640000000305,0.001840397615440002
random_alfabeto0,5,true,38632.4,0.705068,35199.53199999983,0.014179034128239992
random_alfabeto0,6,true,38329.2,0.719334,7689.754399999673,0.0011818053433599997
random_alfabeto0,7,true,38074.4,0.862454,27084.854400000535,0.0016467375938400007
random_alfabeto0,8,true,36881.1,0.868045,9946.541600000019,0.025227574158639986
random_alfabeto0,9,true,36749.5,0.738231,13681.205600000252,0.012298808863840004
random_alfabeto0,10,true,36117.2,0.759952,490753.7656000019,0.009562922157440003
random_alfabeto0,11,true,36371.8,0.739764,178037.76399999982,0.005316706431760002
random_alfabeto0,12,true,34955.2,0.883797,7218.7944000000425,0.035387193102799995
random_alfabeto0,13,true,35159.5,0.75728,24947.874399999673,0.02015731200919999
random_alfabeto0,14,true,35749.5,0.937301,993124.9960000018,0.016395393858239998
random_alfabeto0,15,true,34849.8,0.806429,422831.0503999999,0.00285613999784
random_alfabeto0,16,true,33608.2,0.917226,57284.82640000023,0.01259542859816
random_alfabeto0,17,true,33515.9,0.869705,22571.389599999933,0.0005430601941599993
random_alfabeto0,18,true,33575.7,0.920831,19634.33840000006,0.021923155908559998
