dataset,cant_threads,metodo,tiempo_carga,tiempo_max,varianza_carga,varianza_max
random_noUniforme,1,true,24961.3,17.8462,1811126.8855999992,0.5323052375999995
random_noUniforme,2,true,13732.2,8.59709,42350.37040000013,0.058149244543999876
random_noUniforme,3,true,9370.02,6.24141,6333.281015999957,0.014152711975999993
random_noUniforme,4,true,7511.34,4.81237,39566.686376000034,0.007534786855999979
random_noUniforme,5,true,6765.19,4.43656,64731.17045600004,0.007771025495999987
random_noUniforme,6,true,6442.15,4.60929,24888.112744000005,0.012563580216000004
random_noUniforme,7,true,6325.27,4.62721,32469.24077599998,0.015369166096000017
random_noUniforme,8,true,5564.65,4.08343,109988.73630400002,0.09659588402400002
random_noUniforme,9,true,5614.76,3.74955,95627.53397600015,0.9787622234159997
random_noUniforme,10,true,4744.19,3.8711,43154.00878399996,0.075397264384
random_noUniforme,11,true,5097.71,4.05655,31415.530863999942,0.05876797042399999
random_noUniforme,12,true,6115.38,4.39957,28242.152519999974,0.00529925173599999
random_noUniforme,13,true,4893.2,3.79053,26857.988375999983,0.014050562855999954
random_noUniforme,14,true,5035.48,3.85372,5674.109624000028,0.012033329184000017
random_noUniforme,15,true,5572.93,4.08759,5721.890143999998,0.3820849193040001
random_noUniforme,16,true,6018.7,4.38971,11794.715584000014,0.08338778940000001
random_noUniforme,17,true,5167.97,4.06162,13249.395943999949,0.02600356666399999
random_noUniforme,18,true,5045.98,3.96358,3652.1378799999948,0.013841555704000025
