dataset,cant_threads,metodo,tiempo_carga,tiempo_max,varianza_carga,varianza_max
random_alfabeto1,1,true,28790.0,10.4574,307741.2984000007,0.12352957590399993
random_alfabeto1,2,true,15893.9,4.94162,333646.1943999998,0.004744557903999984
random_alfabeto1,3,true,12709.9,2.91954,17408.14640000003,0.031049274343999983
random_alfabeto1,4,true,11565.0,2.3166,269819.6344,0.15237798821600004
random_alfabeto1,5,true,10956.9,2.20836,57896.23040000007,0.10052168110400003
random_alfabeto1,6,true,11111.8,2.75332,14254.901600000007,0.029779478423999993
random_alfabeto1,7,true,10857.2,2.85767,7609.474400000026,0.012882379576000006
random_alfabeto1,8,true,10260.2,2.2589,10627.754399999987,0.0056363778559999946
random_alfabeto1,9,true,9441.02,2.32509,11566.03672000003,0.010736286175999993
random_alfabeto1,10,true,8944.76,2.54801,7840.044335999892,0.033149785576000027
random_alfabeto1,11,true,9284.04,2.43644,8830.373599999952,0.03659789021599999
random_alfabeto1,12,true,9614.7,2.54797,495.5160240000197,0.02387801834400003
random_alfabeto1,13,true,8830.53,2.34831,2213.89987999999,0.04387390138400002
random_alfabeto1,14,true,8998.07,2.31262,5264.904224000063,0.06175280685600002
random_alfabeto1,15,true,9204.87,2.5324,1135.1839999999875,0.01615059569599999
random_alfabeto1,16,true,9476.21,2.53456,16572.80970400011,0.044458243383999965
random_alfabeto1,17,true,8747.61,2.43767,992.4651839999918,0.05745508788000003
random_alfabeto1,18,true,8896.75,2.57052,11175.610455999991,0.03955465429599998
