dataset,cant_threads,tiempo_carga
instancias/separados/256_archivos,3,17713.55
instancias/separados/256_archivos,4,16555.3
instancias/separados/256_archivos,5,22324.9
instancias/separados/256_archivos,6,22870.300000000003
instancias/separados/256_archivos,7,22718.75
instancias/separados/256_archivos,8,22423.8
instancias/separados/256_archivos,9,22039.5
instancias/separados/256_archivos,10,21786.3
instancias/separados/256_archivos,11,21586.6
instancias/separados/256_archivos,12,21315.3
instancias/separados/256_archivos,13,20249.1
instancias/separados/256_archivos,14,20132.45
instancias/separados/256_archivos,15,20152.85
instancias/separados/256_archivos,16,20231.25
instancias/separados/256_archivos,17,20187.449999999997
instancias/separados/256_archivos,18,20112.85
instancias/separados/256_archivos,19,20304.45
instancias/separados/512_archivos,1,25769.1
instancias/separados/512_archivos,2,17447.65
instancias/separados/512_archivos,3,15968.6
instancias/separados/512_archivos,4,15646.5
instancias/separados/512_archivos,5,17546.050000000003
instancias/separados/512_archivos,6,19713.15
instancias/separados/512_archivos,7,20479.15
instancias/separados/512_archivos,8,20385.45
instancias/separados/512_archivos,9,20237.449999999997
instancias/separados/512_archivos,10,20074.199999999997
instancias/separados/512_archivos,11,19983.25
instancias/separados/512_archivos,12,19949.3
instancias/separados/512_archivos,13,19906.15
instancias/separados/512_archivos,14,19916.6
instancias/separados/512_archivos,15,19941.6
instancias/separados/512_archivos,16,19903.25
instancias/separados/512_archivos,17,19975.55
instancias/separados/512_archivos,18,19892.1
instancias/separados/512_archivos,19,20008.85
instancias/separados/1024_archivos,1,25791.050000000003
instancias/separados/1024_archivos,2,17696.75
instancias/separados/1024_archivos,3,16003.2
instancias/separados/1024_archivos,4,15786.1
instancias/separados/1024_archivos,5,17927.9
instancias/separados/1024_archivos,6,19874.55
instancias/separados/1024_archivos,7,20463.25
instancias/separados/1024_archivos,8,20351.3
instancias/separados/1024_archivos,9,20187.25
instancias/separados/1024_archivos,10,20167.4
instancias/separados/1024_archivos,11,20093.0
instancias/separados/1024_archivos,12,19913.75
instancias/separados/1024_archivos,13,19882.7
instancias/separados/1024_archivos,14,19918.6
instancias/separados/1024_archivos,15,19852.95
instancias/separados/1024_archivos,16,19896.550000000003
instancias/separados/1024_archivos,17,20007.35
instancias/separados/1024_archivos,18,19988.65
instancias/separados/1024_archivos,19,20012.9
